Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,74849.796875,74849.796875,74849.796875,74849.796875,74170.671875,0
2017-01-04,75126.398438,75126.398438,75100.000000,75100.000000,74418.601563,2546
2017-01-05,75100.000000,75100.000000,75100.000000,75100.000000,74418.601563,0
2017-01-06,75600.000000,76050.000000,75450.000000,75500.000000,74814.968750,24371
2017-01-09,76900.000000,77700.000000,75750.000000,77700.000000,76995.007813,16674
2017-01-10,78050.000000,78250.000000,77650.000000,78250.000000,77540.015625,16588
2017-01-11,79600.000000,80320.000000,78600.000000,78900.000000,78184.117188,34477
2017-01-12,81250.000000,82563.796875,65409.898438,81200.000000,80463.257813,32645
2017-01-13,79350.000000,80445.203125,79100.000000,79600.000000,78877.773438,28700
2017-01-16,77850.000000,77850.000000,77150.000000,77250.000000,76549.085938,16616
2017-01-17,78550.000000,79200.000000,78350.000000,78650.000000,77936.398438,22551
2017-01-18,78800.000000,79883.000000,78300.000000,79150.000000,78431.851563,22689
2017-01-19,79000.000000,80076.000000,78600.000000,78650.000000,77936.398438,29513
2017-01-20,79200.000000,79566.101563,59262.898438,78300.000000,77589.562500,46229
2017-01-23,80900.000000,81475.101563,80400.000000,80400.000000,79670.515625,43760
2017-01-24,81300.000000,82150.000000,81200.000000,82150.000000,81404.632813,27402
2017-01-25,83700.000000,85900.000000,82100.000000,85450.000000,84674.687500,41161
2017-01-26,85550.000000,87800.000000,84000.000000,84800.000000,84030.593750,80420
2017-01-27,84450.000000,84650.000000,83550.000000,84300.000000,83535.125000,15820
2017-01-30,84000.000000,84450.000000,83400.000000,83450.000000,82692.843750,10107
2017-01-31,84200.000000,85200.000000,84200.000000,85050.000000,84278.320313,27578
2017-02-01,84100.000000,84650.000000,84000.000000,84650.000000,83881.953125,21426
2017-02-02,85400.000000,86550.000000,85400.000000,86500.000000,85715.164063,13026
2017-02-03,85600.000000,86400.000000,85550.000000,86400.000000,85616.070313,18315
2017-02-06,86400.000000,86650.000000,86100.000000,86650.000000,85863.804688,12651
2017-02-07,84500.000000,86650.000000,84050.000000,85000.000000,84228.773438,15259
2017-02-08,83250.000000,84200.000000,83250.000000,84150.000000,83386.484375,10360
2017-02-09,83900.000000,83900.000000,83350.000000,83500.000000,82742.390625,17679
2017-02-10,83200.000000,83350.000000,82800.000000,82950.000000,82197.367188,14362
2017-02-13,82000.000000,82350.000000,81650.000000,81900.000000,81156.898438,25352
2017-02-14,82000.000000,82600.000000,80800.000000,81750.000000,81008.265625,22609
2017-02-15,82250.000000,83350.000000,82250.000000,83000.000000,82246.921875,22297
2017-02-16,82700.000000,83750.000000,82700.000000,83750.000000,82990.117188,23547
2017-02-17,81950.000000,82250.000000,81650.000000,81900.000000,81156.898438,19572
2017-02-20,84900.000000,85450.000000,83490.000000,83950.000000,83188.296875,22158
2017-02-21,85000.000000,85000.000000,84500.000000,84900.000000,84129.679688,13419
2017-02-22,85550.000000,85600.000000,84900.000000,85400.000000,84625.148438,22803
2017-02-23,85750.000000,86019.203125,85400.000000,85950.000000,85170.156250,30387
2017-02-24,84450.000000,85950.000000,83550.000000,83600.000000,82841.484375,15057
2017-02-27,83650.000000,83900.000000,83171.898438,83500.000000,82742.390625,10256
2017-02-28,84600.000000,85650.000000,84400.000000,84800.000000,84030.593750,27359
2017-03-01,84050.000000,84350.000000,83650.000000,84150.000000,83386.484375,18174
2017-03-02,86050.000000,86500.000000,85400.000000,86050.000000,85269.250000,21903
2017-03-03,85350.000000,86000.000000,85150.000000,86000.000000,85219.703125,17378
2017-03-06,86050.000000,86600.000000,85900.000000,85900.000000,85120.609375,10193
2017-03-07,87100.000000,87100.000000,86400.000000,86400.000000,85616.070313,18528
2017-03-08,87500.000000,87500.000000,86450.000000,86750.000000,85962.898438,26061
2017-03-09,86350.000000,86550.000000,85800.000000,86350.000000,85566.523438,21494
2017-03-10,86300.000000,87050.000000,86300.000000,86450.000000,85665.617188,18083
2017-03-13,88000.000000,88350.000000,87900.000000,87900.000000,87102.460938,12449
2017-03-14,89600.000000,89700.000000,89150.000000,89200.000000,88390.671875,19204
2017-03-15,90150.000000,90700.000000,89200.000000,90700.000000,89877.054688,23481
2017-03-16,92050.000000,92650.000000,90700.000000,92550.000000,91710.281250,19825
2017-03-17,93000.000000,93300.000000,92800.000000,93200.000000,92354.375000,27767
2017-03-20,93800.000000,94100.000000,93500.000000,93600.000000,92750.750000,32260
2017-03-21,94950.000000,94950.000000,93800.000000,94100.000000,93246.210938,23205
2017-03-22,94050.000000,94700.000000,93800.000000,94400.000000,93543.484375,16529
2017-03-23,93300.000000,93300.000000,92600.000000,92700.000000,91858.914063,56495
2017-03-24,92450.000000,93150.000000,92100.000000,92350.000000,91512.085938,27652
2017-03-27,92300.000000,92800.000000,92000.000000,92000.000000,91165.257813,19464
2017-03-28,92550.000000,93350.000000,92500.000000,93200.000000,92354.375000,38408
2017-03-29,93850.000000,93850.000000,93400.000000,93450.000000,92602.109375,70226
2017-03-30,94200.000000,94200.000000,93500.000000,93650.000000,93111.664063,14640
2017-03-31,92050.000000,93650.000000,90050.000000,91750.000000,91222.585938,26118
2017-04-03,92400.000000,92650.000000,91850.000000,92000.000000,91471.148438,21819
2017-04-04,93700.000000,93800.000000,92070.296875,93550.000000,93012.234375,43942
2017-04-05,93800.000000,94300.000000,93500.000000,94300.000000,93757.921875,15846
2017-04-06,92350.000000,92450.000000,91950.000000,92100.000000,91570.570313,13438
2017-04-07,91500.000000,92600.000000,91350.000000,92600.000000,92067.695313,28907
2017-04-10,91350.000000,92350.000000,91350.000000,92350.000000,91819.140625,13675
2017-04-11,91000.000000,91150.000000,90800.000000,91000.000000,90476.890625,26879
2017-04-12,92000.000000,92400.000000,91026.203125,92400.000000,91868.851563,15413
2017-04-13,93550.000000,93900.000000,93150.000000,93300.000000,92763.679688,8228
2017-04-18,90900.000000,90950.000000,90050.000000,90800.000000,90278.046875,15929
2017-04-19,89800.000000,90800.000000,89350.000000,90150.000000,89631.789063,13766
2017-04-20,88500.000000,89100.000000,88250.000000,88250.000000,87742.703125,26807
2017-04-21,89500.000000,90150.000000,89400.000000,89650.000000,89134.656250,14294
