테이팩스,055490,플라스틱제품 제조업,2017-10-31,12
파인이엠텍,278990,전동기| 발전기 및 전기 변환 · 공급 · 제어 장치 제조업,2017-10-31,12
롯데제과,280360,기타 식품 제조업,2017-10-30,12
티에스아이,277880,특수 목적용 기계 제조업,2017-10-30,12
탑선,180060,기타 전기장비 제조업,2017-10-27,12
영화테크,265560,자동차 신품 부품 제조업,2017-10-26,12
세원,234100,자동차 신품 부품 제조업,2017-10-20,12
신한제4호스팩,277480,금융 지원 서비스업,2017-10-20,12
상신전자,263810,전자부품 제조업,2017-10-16,12
야스,255440,특수 목적용 기계 제조업,2017-09-29,12
인산가,277410,기타 식품 제조업,2017-09-29,12
블러썸엠앤씨,263920,그외 기타 제품 제조업,2017-09-28,12
신흥에스이씨,243840,일차전지 및 축전지 제조업,2017-09-27,12
유티아이,179900,전자부품 제조업,2017-09-27,12
선익시스템,171090,특수 목적용 기계 제조업,2017-09-20,12
엠플러스,259630,특수 목적용 기계 제조업,2017-09-20,12
앱클론,174900,의료용품 및 기타 의약 관련제품 제조업,2017-09-18,12
샘코,263540,항공기|우주선 및 부품 제조업,2017-09-15,12
펄어비스,263750,소프트웨어 개발 및 공급업,2017-09-14,12
이십일스토어,270020,기타 비금속 광물제품 제조업,2017-09-08,12
케이피에스,256940,특수 목적용 기계 제조업,2017-09-06,12
시그넷이브이,260870,전동기| 발전기 및 전기 변환 · 공급 · 제어 장치 제조업,2017-08-30,12
덕우전자,263600,전자부품 제조업,2017-08-28,12
명진홀딩스,267060,수산물 가공 및 저장 처리업,2017-08-24,12
이더블유케이,258610,구조용 금속제품| 탱크 및 증기발생기 제조업,2017-08-22,12
지엔원에너지,270520,건축기술| 엔지니어링 및 관련 기술 서비스업,2017-08-22,12
알에스오토메이션,140670,전자부품 제조업,2017-08-11,12
컬러레이,900310,기타 금융업,2017-08-10,12
엔에이치스팩12호,273060,금융 지원 서비스업,2017-08-07,12
모트렉스,118990,자동차 신품 부품 제조업,2017-08-04,12
데이타솔루션,263800,기계장비 및 관련 물품 도매업,2017-08-03,12
지니언스,263860,소프트웨어 개발 및 공급업,2017-08-02,12
디앤씨미디어,263720,서적| 잡지 및 기타 인쇄물 출판업,2017-08-01,12
셀트리온헬스케어,091990,기타 전문 도매업,2017-07-28,12
이즈미디어,181340,측정| 시험| 항해| 제어 및 기타 정밀기기 제조업; 광학기기 제외,2017-07-26,12
루켄테크놀러지스,162120,기타 전기장비 제조업,2017-07-25,12
에브리봇,270660,가정용 기기 제조업,2017-07-24,12
